B         [ 2,28,40,15, 1,10,12,24,38,31,20,14,39,30,37, 7,11,46,19, 5,35,17, 6,42,27,16,26,36,18,43, 0,21, 8,29,45,32,22,41, 4, 3,25,34,44, 9,23,47,13,33,  ]
RawFitness        17741

Gen                 AvgFit              BestFit			AvgStd
169            21427.75            21128.24            1476.24             
170            21453.39            21122.82            1663.05             
171            21426.93            21121.94            1574.11             
172            21453.83            21122.1             1880.06             
173            21373.31            21120.12            1442.65             
174            21393.19            21118.54            1732.8              
175            21376.3             21109.68            1666.36             
176            21414.52            21107.38            2007.63             
177            21338.81            21101.52            1547.61             
178            21334.4             21105.42            1537.09             
179            21346.89            21104.28            1662.4              
180            21340.56            21102.9             1656.12             
181            21351.75            21102.5             1833.22             
182            21296.25            21102.7             1524.36             
183            21298.42            21094.74            1482.54             
184            21318.41            21099.4             1627.57             
185            21293.57            21099.08            1634.82             
186            21315.28            21099.46            1591.13             
187            21271.84            21099.46            1331.33             
188            21289.05            21097.46            1495.44             
189            21305.89            21097.24            1678.86             
190            21289.46            21097.64            1668.99             
191            21304.48            21097.64            1662.36             
192            21311.95            21097.42            1702.77             
193            21258.66            21097.42            1376.4              
194            21319.44            21097.42            1875.2              
195            21285.14            21097.3             1592.11             
196            21270.84            21097.3             1515.01             
197            21279.45            21097.22            1692.35             
198            21203.5             21097.22            1070.31             
199            21242.87            21097.22            1401.51             
200            21299.33            21096.48            1726.29             
201            21260.35            21097.3             1465.52             
202            21270.09            21096.72            1575.49             
203            21231.93            21097.3             1244.75             
204            21279.0             21097.3             1605.35             
205            21292.17            21097.3             1619.98             
206            21315.55            21097.3             1884.84             
207            21249.05            21097.3             1512.01             
208            21287.71            21097.3             1708.68             
209            21275.95            21097.3             1538.86             
210            21276.34            21097.3             1637.75             
211            21238.05            21097.3             1350.5              
212            21265.47            21097.3             1567.65             
213            21261.73            21097.3             1489.84             
214            21293.86            21097.3             1813.07             
215            21341.84            21097.3             2099.92             
216            21293.35            21097.3             1669.56             
217            21270.89            21097.3             1588.3              
218            21290.55            21097.3             1769.01             
219            21245.74            21097.3             1415.18             
220            21258.68            21097.3             1535.83             
221            21324.44            21097.3             2037.45             
222            21290.83            21097.3             1757.44             
223            21261.47            21097.3             1487.05             
224            21292.29            21097.3             1704.99             
225            21303.61            21097.3             1843.72             
226            21303.03            21097.3             1794.08             
227            21280.24            21097.3             1722.56             
228            21287.02            21097.3             1769.51             
229            21266.5             21097.3             1562.51             
230            21272.41            21097.3             1669.38             
231            21262.65            21097.3             1509.69             
232            21278.28            21097.3             1690.81             
233            21270.01            21097.3             1590.9              
234            21297.45            21097.3             1739.07             
235            21288.87            21097.3             1667.71             
236            21269.71            21097.3             1606.4              
237            21309.07            21097.3             1885.11             
238            21294.65            21097.3             1721.52             
239            21263.78            21097.3             1578.18             
240            21277.74            21097.3             1677.11             
241            21271.24            21097.3             1722.39             
242            21276.11            21097.3             1647.63             
243            21260.41            21095.52            1551.7              
244            21320.53            21095.52            1944.7              
245            21276.42            21095.52            1661.2              
246            21276.44            21095.04            1552.23             
247            21295.11            21095.04            1642.12             
248            21247.46            21095.04            1406.0              
249            21286.92            21095.04            1721.76             

