B         [ 0,15,40,33,47,41,28, 4,38,46,14,45,17,35, 6,27,36,16,18,29, 5,42,26,37,39,12,24,23,44, 9,31,20,34,25, 3, 2, 1,13,22,10,19,43,30, 8, 7,32,11,21,  ]
RawFitness        17749

Gen                 AvgFit              BestFit			AvgStd
173            20761.64            20666.26            210.02              
174            20753.99            20664.62            201.49              
175            20747.46            20659.94            205.09              
176            20742.6             20606.38            198.51              
177            20741.51            20622.08            228.97              
178            20732.3             20618.08            190.78              
179            20732.9             20605.72            267.98              
180            20720.06            20598.82            188.19              
181            20723.76            20586.08            246.08              
182            20719.87            20591.72            230.27              
183            20714.67            20596.82            220.57              
184            20710.08            20598.34            211.46              
185            20703.32            20566.66            212.26              
186            20696.82            20581.68            202.93              
187            20691.99            20588.02            197.73              
188            20686.09            20566.08            200.33              
189            20683.49            20565.18            216.11              
190            20673.98            20559.36            197.27              
191            20670.83            20556.66            211.25              
192            20664.23            20561.74            190.71              
193            20662.55            20557.58            229.02              
194            20651.59            20555.84            185.98              
195            20645.03            20556.9             178.28              
196            20648.52            20550.56            244.46              
197            20638.79            20562.8             250.18              
198            20628.54            20562.58            230.79              
199            20622.2             20539.44            200.03              
200            20621.27            20537.26            240.86              
201            20612.06            20535.06            181.3               
202            20610.76            20521.64            202.58              
203            20606.56            20523.0             217.07              
204            20596.17            20516.96            163.28              
205            20603.44            20504.06            231.69              
206            20592.05            20505.28            190.09              
207            20595.06            20498.9             269.2               
208            20595.59            20499.4             278.61              
209            20579.99            20496.04            177.43              
210            20573.01            20508.44            152.08              
211            20570.19            20516.38            162.57              
212            20575.21            20519.06            216.34              
213            20569.99            20518.66            201.75              
214            20569.6             20516.7             209.38              
215            20564.19            20514.84            182.13              
216            20559.88            20517.8             194.3               
217            20558.39            20495.64            210.93              
218            20552.25            20517.98            191.66              
219            20549.87            20505.18            175.84              
220            20547.66            20495.58            170.8               
221            20546.64            20493.92            169.4               
222            20554.53            20482.56            244.96              
223            20543.03            20484.8             173.77              
224            20544.99            20483.4             215.83              
225            20541.52            20477.96            204.47              
226            20537.88            20482.06            204.38              
227            20538.89            20485.2             214.83              
228            20540.54            20481.68            238.45              
229            20530.82            20483.66            221.42              
230            20529.05            20480.18            230.76              
231            20526.81            20461.02            261.05              
232            20515.74            20479.18            178.03              
233            20516.56            20467.36            196.67              
234            20520.95            20463.0             241.74              
235            20515.24            20460.88            184.88              
236            20514.06            20461.46            204.6               
237            20512.71            20446.74            192.38              
238            20512.34            20446.96            193.32              
239            20509.89            20451.0             188.86              
240            20507.63            20452.66            210.72              
241            20512.34            20442.42            264.4               
242            20499.3             20437.0             174.0               
243            20498.73            20423.18            206.15              
244            20498.71            20420.2             228.85              
245            20493.13            20424.2             193.05              
246            20492.0             20419.36            189.34              
247            20488.36            20429.02            206.64              
248            20483.43            20440.0             183.94              
249            20481.92            20436.88            206.53              

