B        38 47 30 22 20 46 43 19 14 12  1 11 21 15 13 23  9 44 41 25  3 28  4  2 34 40 33  8 10 31 24 35 16  7  0 39 37 17 18 26 36  6 27  5 29 42 45 32
RawFitness        24539

Gen                 AvgFit              BestFit			AvgStd
170            38571.83            31017.16            3046.1              
171            38597.96            31205.86            3052.77             
172            38628.38            31430.92            3030.15             
173            38596.04            31591.72            2994.28             
174            38571.13            31540.48            2965.1              
175            38613.28            31503.38            2960.8              
176            38652.79            31318.5             3000.24             
177            38617.89            31367.44            3061.04             
178            38628.4             31443.48            3036.49             
179            38684.31            31242.76            3022.93             
180            38719.2             31488.18            3038.76             
181            38659.26            31225.74            3009.18             
182            38758.97            31489.26            3040.86             
183            38804.26            31452.8             3046.15             
184            38803.25            31607.22            3004.21             
185            38838.08            31445.72            3040.28             
186            38807.92            31720.28            3002.89             
187            38825.15            31504.52            2993.54             
188            38783.88            31516.9             2948.61             
189            38683.1             31415.84            2941.22             
190            38609.59            31280.92            2975.46             
191            38579.72            31408.08            2981.39             
192            38609.03            31641.48            2975.84             
193            38624.14            31320.14            3011.4              
194            38565.99            31418.68            2973.81             
195            38613.48            31488.94            2987.73             
196            38625.11            31448.5             2948.87             
197            38613.08            31336.88            2998.55             
198            38590.07            31266.02            2969.57             
199            38584.58            31052.32            2993.79             
200            38630.36            31362.08            3054.33             
201            38630.58            31424.08            3032.42             
202            38563.15            31312.94            3021.87             
203            38614.79            31234.02            3020.01             
204            38609.54            31356.12            3019.26             
205            38581.36            31341.5             3019.67             
206            38542.65            31362.78            2975.26             
207            38508.01            31218.32            2983.11             
208            38467.33            30994.76            2956.91             
209            38469.45            30932.52            2962.28             
210            38512.7             31140.84            2965.12             
211            38543.92            31109.9             3020.74             
212            38595.71            31181.96            3005.64             
213            38601.96            31296.3             3011.84             
214            38689.02            31559.52            3055.03             
215            38629.71            31475.06            3018.01             
216            38596.84            31465.5             2981.39             
217            38614.99            31436.72            2933.42             
218            38597.95            31433.16            2983.72             
219            38609.72            31414.72            3011.82             
220            38622.45            31529.32            2982.29             
221            38619.2             31460.38            3041.15             
222            38586.12            31239.72            3026.7              
223            38636.15            31152.78            3045.19             
224            38646.15            31295.8             3029.81             
225            38655.93            31500.06            3014.85             
226            38644.42            31459.26            3012.63             
227            38653.93            31335.4             2971.06             
228            38699.04            31484.94            2988.56             
229            38710.51            31784.96            3009.53             
230            38734.9             31521.98            3014.47             
231            38737.48            31460.44            2983.6              
232            38760.84            31515.76            3028.88             
233            38759.7             31499.8             3004.52             
234            38808.11            31496.66            3010.91             
235            38727.47            31504.48            3008.3              
236            38717.72            31597.92            2966.5              
237            38767.91            31570.14            3031.74             
238            38764.95            31661.76            3013.8              
