B        32 19 11 10 13 31 20 38 33 28  3  2 25 34 44 23  9 41 24  4 47 22  1  0  8  5 18 27 16 42 29 36 26 35 46 12 40 15 21 14 43 17  6 30 37  7 39 45
RawFitness        16977

Gen                 AvgFit              BestFit			AvgStd
174            20932.73            20805.08            229.06              
175            20919.3             20796.1             201.93              
176            20909.92            20801.42            191.98              
177            20907.24            20790.48            227.25              
178            20894.19            20753.1             226.55              
179            20887.15            20784.86            237.96              
180            20875.94            20782.64            223.4               
181            20866.36            20779.36            249.13              
182            20855.74            20775.76            227.7               
183            20844.32            20773.7             216.09              
184            20843.45            20760.44            243.98              
185            20840.3             20759.98            236.11              
186            20836.94            20738.24            197.07              
187            20835.98            20739.94            212.24              
188            20828.37            20714.12            188.77              
189            20830.1             20713.4             203.18              
190            20828.53            20724.32            239.27              
191            20816.05            20718.68            192.1               
192            20814.08            20703.92            213.2               
193            20814.57            20700.48            252.09              
194            20806.61            20702.86            238.38              
195            20804.33            20711.96            261.31              
196            20793.2             20710.74            189.3               
197            20794.8             20697.32            248.47              
198            20784.36            20697.3             217.95              
199            20782.0             20676.2             234.04              
200            20764.95            20700.46            132.34              
201            20776.4             20704.98            280.3               
202            20761.66            20699.04            233.38              
203            20752.51            20701.28            198.57              
204            20754.99            20707.96            255.83              
205            20743.45            20690.18            197.05              
206            20743.08            20684.04            245.18              
207            20733.01            20649.76            185.92              
208            20738.97            20641.28            237.77              
209            20735.85            20655.28            218.78              
210            20736.98            20686.9             232.1               
211            20733.52            20658.38            210.27              
212            20730.81            20648.94            203.12              
213            20725.46            20653.54            169.87              
214            20728.38            20660.72            194.26              
215            20727.08            20651.62            191.5               
216            20728.09            20650.88            215.6               
217            20723.5             20642.56            203.47              
218            20726.89            20640.16            252.72              
219            20715.85            20642.92            175.42              
220            20726.23            20638.5             280.25              
221            20724.42            20630.98            256.27              
222            20718.01            20612.68            259.5               
223            20713.38            20611.2             240.01              
224            20706.07            20616.1             249.78              
225            20695.61            20608.82            208.83              
226            20691.61            20607.48            221.68              
227            20692.8             20586.72            248.34              
228            20676.92            20595.34            197.48              
229            20673.33            20607.32            212.8               
230            20666.08            20597.7             218.32              
231            20660.41            20599.38            219.39              
232            20660.27            20583.2             272.92              
233            20647.68            20589.84            155.09              
234            20649.76            20568.12            201.72              
235            20650.86            20582.8             232.89              
236            20642.24            20583.76            214.48              
237            20641.51            20575.1             211.3               
238            20635.27            20572.38            185.49              
239            20630.29            20562.58            189.22              
240            20630.54            20550.84            209.1               
241            20631.35            20559.06            242.14              
242            20618.38            20549.66            145.79              
243            20619.33            20548.46            178.08              
244            20617.29            20537.9             195.48              
245            20616.41            20537.82            220.31              
246            20610.8             20534.68            221.08              
247            20599.92            20517.5             181.68              
248            20597.13            20510.86            167.11              
249            20596.35            20528.68            227.22              

